star_name,hip_name,hd_name,gj_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr,st_teff,st_tefferr,st_mass,st_masserr,st_logg,st_loggerr,st_age,st_ageerr,st_metfe,st_metfeerr,st_metratio
HIP 106696,HIP 106696,HD 205390,GJ 833,1,0,0,0,0,21h36m40.85s,324.170217,-50d50m41.6s,-50.8449,14.62,0.15,-0.14,7.14,0.01,0.88,0.01,K2V,0.32,0.03,5053,,0.79,,4.61,,6.3,,-0.17,,[Fe/H]
HIP 106803,HIP 106803,,GJ 4206,1,0,0,0,0,21h37m55.89s,324.482887,-63d42m42.1s,-63.711685,21.25,1.12,-1.01,10.62,0.01,1.45,0.01,M2,0.08,0.16,3721,,0.52,,,,,,,,
HIP 106811 A,HIP 106811 A,,GJ 835,1,0,0,0,0,21h38m00.07s,324.500307,+27d43m26.1s,27.723926,13.32,0.41,-0.39,9.83,0.01,1.5,0.01,,0.06,0.11,3764,,0.49,,,,,,,,
HIP 106913,HIP 106913,HD 205905,GJ 836.1,1,0,0,0,0,21h39m09.90s,324.791245,-27d18m22.9s,-27.306368,25.65,0.26,-0.25,6.74,0.02,0.62,0.01,G2V,1.18,0.06,5795,,1.04,,4.43,,,,,,
HIP 106972 A,HIP 106972 A,,GJ 4210,1,0,0,0,0,21h39m54.19s,324.975808,+27d36m45.4s,27.612622,24.43,1.84,-1.6,11.62,0.01,1.52,0.02,M3:,0.05,0.2,3590,,0.46,,,,,,,,
HIP 107022,HIP 107022,HD 205536,,1,0,0,0,0,21h40m30.07s,325.125288,-74d04m29.3s,-74.074797,22.02,0.22,-0.22,7.07,0,0.76,0,G8V,0.7,0.04,5444,,0.87,,4.48,,12.56,,-0.03,,[Fe/H]
HIP 107038,HIP 107038,HD 207897,,1,0,0,0,0,21h40m42.74s,325.1781,+84d20m00.0s,84.333337,28.17,0.28,-0.28,8.4,0.02,0.87,0.02,K0,0.36,0.06,5132,,0.77,,,,,,,,
HIP 107070,HIP 107070,HD 206374,,1,0,0,0,0,21h41m05.97s,325.274885,+26d45m03.2s,26.750887,26.94,0.55,-0.53,7.44,0.02,0.69,0.01,G8V,0.71,0.06,5587,,0.94,,4.53,,2.24,,-0.05,,[Fe/H]
HIP 107089,HIP 107089,HD 205478,GJ 835.1,1,1,0,0,0,21h41m28.47s,325.368638,-77d23m22.1s,-77.389462,21.2,0.88,-0.82,3.73,0.02,1.02,0.02,K0III,17.91,0.15,4769,,2.1,,,,,,,,
HIP 107143,HIP 107143,HD 206276,GJ 836.3,1,0,0,0,0,21h42m09.98s,325.541596,-41d07m27.2s,-41.124221,26.79,2.33,-1.98,8.83,0.01,1.05,0.01,K3V(P),0.29,0.18,4602,,0.73,,,,,,,,
HIP 107310 A,HIP 107310 A,HD 206826,GJ 836.6 A,1,1,0,0,0,21h44m08.40s,326.035019,+28d44m35.6s,28.743222,22.24,0.22,-0.22,4.69,0.02,0.45,0.02,F6V,5.78,0.06,6309,,1.57,,3.86,,,,,,
HIP 107317,HIP 107317,,GJ 4213,1,0,0,0,0,21h44m13.18s,326.054919,+06d38m30.7s,6.641867,20.82,1.57,-1.36,12.12,0.01,1.52,0.01,M3V:,0.03,0.19,3422,,0.42,,,,,,,,
HIP 107346,HIP 107346,,GJ 836.8,1,0,0,0,0,21h44m30.01s,326.125039,+41d35m50.5s,41.597362,19.74,0.61,-0.57,9.65,0,1.33,0.01,K0,0.11,0.06,4094,,0.56,,,,,,,,
HN Peg,HIP 107350,HD 206860,GJ 836.7,1,0,0,0,1,21h44m31.19s,326.12996,+14d46m20.0s,14.772215,17.89,0.18,-0.18,5.95,0.02,0.59,0,G0V,1.18,0.06,5974,,1.1,,4.48,,3.1,,-0.02,,[Fe/H]
HIP 107376,HIP 107376,,,1,0,0,0,0,21h44m54.11s,326.225443,+44d17m14.6s,44.2874,26.46,1.99,-1.73,11.43,0.26,1.19,0.26,K:,0.07,0.49,3626,,0.5,,,,,,,,
HIP 107427,HIP 107427,,,1,0,0,0,0,21h45m29.68s,326.37365,-21d33m29.9s,-21.558295,13.78,8.09,-3.72,10.93,0.01,0.47,0.01,F5.5V,0.01,1.02,6191,,0.28,,,,,,,,
HIP 107522 A,HIP 107522 A,HD 206804 A,GJ 836.9 A,1,0,0,0,0,21h46m35.68s,326.648682,-57d42m04.3s,-57.701182,18.63,0.58,-0.54,8.77,0,1.32,0,K5V+G/KIII,0.21,0.06,4104,,0.67,,,,,,,,
HIP 107556,HIP 107556,HD 207098,GJ 837,1,1,1,0,0,21h47m02.29s,326.759522,-16d07m35.6s,-16.126566,11.87,,,2.85,0.02,0.3,0.02,A5mF2 (IV),8.38,0.06,7301,,1.72,,3.66,,,,,,
